location,iso_code,weekly_vaccinations
Tuvalu,TUV,0
Uganda,UGA,19535
Ukraine,UKR,26290
United Arab Emirates,ARE,78732
United Kingdom,GBR,501356
United States,USA,1036567
Upper middle income,OWID_UMC,23642335
Uruguay,URY,33994
Uzbekistan,UZB,52723
Vanuatu,VUT,
Venezuela,VEN,175529
Vietnam,VNM,19956
Wales,OWID_WLS,21334
Wallis and Futuna,WLF,13
World,OWID_WRL,35044590
Yemen,YEM,4276
Zambia,ZMB,1397
Zimbabwe,ZWE,11235
