location,iso_code,vaccines,last_observation_date,source_name,source_website
Barbados,BRB,Oxford/AstraZeneca,2021-05-22,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4228968023801902/
Belarus,BLR,Sputnik V,2021-05-21,Ministry of Health,https://eng.belta.by/society/view/belarus-covid-19-update-1756-new-cases-1725-recoveries-140097-2021/
Belgium,BEL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-05-23,Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-05-21,Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2689943684637363/
Benin,BEN,"Oxford/AstraZeneca, Sinovac",2021-05-21,Ministry of Health,https://covid19.who.int/
Bermuda,BMU,Pfizer/BioNTech,2021-05-17,Government of Bermuda,https://bernews.com/2021/05/may1820215-30pm-video-govt-covid-19-press-conference/
Bhutan,BTN,Oxford/AstraZeneca,2021-05-22,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4187707844624133/
Bolivia,BOL,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-05-23,Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
Bonaire Sint Eustatius and Saba,BES,"Moderna, Pfizer/BioNTech",2021-04-09,World Health Organization,https://covid19.who.int/
Bosnia and Herzegovina,BIH,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-05-18,Public Health Institute,https://www.novosti.rs/republika-srpska/vesti/997890/vakcinu-primilo-48-000-gradjana-ubrzava-imunizacija-stanovnistva-protiv-virusa-korona-republici-srpskoj
Botswana,BWA,Oxford/AstraZeneca,2021-05-14,Ministry of Health and Wellness,https://www.facebook.com/BotswanaGovernment/posts/4011137672302194
Brazil,BRA,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-05-23,Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
