iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
FRO,Europe,Faeroe Islands,2021-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32593.0,20712.0,11881.0,535.0,564.0,66.7,42.39,24.31,11542.0,38.89,48865.0,35.308,,,,,,,,,,,,80.67,
FJI,Oceania,Fiji,2021-06-02,508.0,44.0,31.714,4.0,0.0,0.0,566.683,49.083,35.378,4.462,0.0,0.0,1.99,,,,,,,,,2475.0,108738.0,121.299,2.761,2630.0,2.934,0.009,107.7,tests performed,136247.0,136247.0,2913.0,,3760.0,15.2,15.2,0.32,4194.0,67.59,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
FIN,Europe,Finland,2021-06-02,92770.0,128.0,115.143,959.0,3.0,1.857,16743.317,23.102,20.781,173.082,0.541,0.335,0.82,17.0,3.068,95.0,17.146,,,,,2604.0,4993681.0,901.27,0.47,11753.0,2.121,0.01,98.1,tests performed,3035338.0,2510921.0,524417.0,58687.0,32096.0,54.78,45.32,9.46,5793.0,52.31,5540718.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
FRA,Europe,France,2021-06-02,5739995.0,1354.0,8121.714,109841.0,17.0,93.714,84956.096,20.04,120.207,1625.727,0.252,1.387,0.84,2825.0,41.812,16088.0,238.114,851.074,12.597,3136.328,46.42,435991.0,,,6.453,295156.0,4.369,0.032,31.2,people tested,37453873.0,26219555.0,11535678.0,657115.0,528613.0,55.43,38.81,17.07,7824.0,54.63,67564251.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
PYF,Oceania,French Polynesia,2021-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103252.0,57743.0,45509.0,,1099.0,36.76,20.56,16.2,3912.0,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,
GAB,Africa,Gabon,2021-06-02,24429.0,0.0,25.286,152.0,0.0,0.286,10975.735,0.0,11.361,68.292,0.0,0.128,0.96,,,,,,,,,,,,,,,,,,22524.0,14352.0,8172.0,,438.0,1.01,0.64,0.37,197.0,,2225728.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703
GMB,Africa,Gambia,2021-06-02,5993.0,0.0,2.143,179.0,0.0,0.143,2479.865,0.0,0.887,74.069,0.0,0.059,0.77,,,,,,,,,,,,,,,,,,38490.0,33819.0,4671.0,,1511.0,1.59,1.4,0.19,625.0,44.44,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
GEO,Asia,Georgia,2021-06-02,346150.0,954.0,831.429,4834.0,30.0,21.714,86772.328,239.147,208.421,1211.779,7.52,5.443,0.91,,,,,,,,,30000.0,4975000.0,1247.125,7.52,30571.0,7.663,0.028,35.7,tests performed,182909.0,149191.0,33718.0,8217.0,6304.0,4.59,3.74,0.85,1580.0,64.81,3989175.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812
DEU,Europe,Germany,2021-06-02,3698004.0,5096.0,4423.286,88945.0,164.0,135.0,44137.382,60.823,52.794,1061.6,1.957,1.611,0.71,2285.0,27.273,,,,,793.848,9.475,,60339078.0,720.175,,170812.0,2.039,0.058,17.2,tests performed,52779769.0,37786938.0,16318175.0,1192752.0,755524.0,63.0,45.1,19.48,9018.0,75.0,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
GHA,Africa,Ghana,2021-06-02,94011.0,0.0,42.857,785.0,0.0,0.286,3025.494,0.0,1.379,25.263,0.0,0.009,0.95,,,,,,,,,3136.0,1164383.0,37.473,0.101,2921.0,0.094,0.012,80.2,samples tested,1228216.0,852047.0,376169.0,,54335.0,3.95,2.74,1.21,1749.0,,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GIB,Europe,Gibraltar,2021-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77717.0,39098.0,38619.0,288.0,159.0,230.68,116.05,114.63,4719.0,,33691.0,3457.1,,,,,,,,,,,,79.93,
GRC,Europe,Greece,2021-06-02,405542.0,1379.0,1492.571,12145.0,23.0,32.714,38908.167,132.303,143.199,1165.205,2.207,3.139,0.9,,,,,130.306,12.502,,,22986.0,9520565.0,913.414,2.205,44535.0,4.273,0.036,28.0,samples tested,5791280.0,3752217.0,2155442.0,99462.0,83494.0,55.56,36.0,20.68,8011.0,54.63,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888
GRL,North America,Greenland,2021-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23911.0,15516.0,8395.0,831.0,472.0,42.12,27.33,14.79,8314.0,50.93,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,
